"","playerID","yearID","votedBy","ballots","needed","votes","inducted","category","needed_note"
"1","aaronha01",1982,"BBWAA",415,312,406,"Y","Player",NA
"2","abbotji01",2005,"BBWAA",516,387,13,"N","Player",NA
"3","abreubo01",2020,"BBWAA",397,298,22,"N","Player",NA
"4","abreubo01",2021,"BBWAA",401,301,35,"N","Player",NA
"5","abreubo01",2022,"BBWAA",394,296,34,"N","Player",NA
"6","abreubo01",2023,"BBWAA",389,292,60,"N","Player",NA
"7","abreubo01",2024,"BBWAA",385,289,57,"N","Player",NA
"8","adamsba01",1937,"BBWAA",201,151,8,"N","Player",NA
"9","adamsba01",1938,"BBWAA",262,197,11,"N","Player",NA
"10","adamsba01",1939,"BBWAA",274,206,11,"N","Player",NA
"11","adamsba01",1942,"BBWAA",233,175,11,"N","Player",NA
"12","adamsba01",1945,"BBWAA",247,186,7,"N","Player",NA
"13","adamsba01",1946,"Nominating Vote",202,NA,6,"N","Player","Players in top 20 proceed to final ballot"
"14","adamsba01",1947,"BBWAA",161,121,22,"N","Player",NA
"15","adamsba01",1948,"BBWAA",121,91,4,"N","Player",NA
"16","adamsba01",1949,"BBWAA",153,115,5,"N","Player",NA
"17","adamsba01",1950,"BBWAA",168,126,6,"N","Player",NA
"18","adamsba01",1951,"BBWAA",226,170,12,"N","Player",NA
"19","adamsba01",1952,"BBWAA",234,176,9,"N","Player",NA
"20","adamsba01",1953,"BBWAA",264,198,17,"N","Player",NA
"21","adamsba01",1954,"BBWAA",252,189,13,"N","Player",NA
"22","adamsba01",1955,"BBWAA",251,189,24,"N","Player",NA
"23","adamsba01",1957,"Veterans",NA,NA,NA,"N","Player",NA
"24","adamsba01",1959,"Veterans",NA,NA,NA,"N","Player",NA
"25","adamsba01",1961,"Veterans",NA,NA,NA,"N","Player","Preliminary poll"
"26","adamsba01",1962,"Veterans",NA,NA,NA,"N","Player","Preliminary poll"
"27","adamsba01",1963,"Veterans",NA,NA,NA,"N","Player","Group A - Holdover from 1962 ballot - two could be elected from Group A"
"28","adamsba01",1964,"Veterans",NA,NA,NA,"N","Player",NA
"29","adamsba01",1980,"Veterans",NA,NA,NA,"N","Player",NA
"30","adamsba01",1982,"Veterans",NA,NA,NA,"N","Player",NA
"31","adamsba01",2003,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"32","adamsba01",2005,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"33","adamsba01",2007,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"34","adamsbo03",1966,"BBWAA",302,227,1,"N","Player",NA
"35","adamsdo99",2016,"Veterans - Pre-Integration Era",16,12,10,"N","Pioneer",NA
"36","adamssp01",1958,"BBWAA",266,200,1,"N","Player",NA
"37","adamssp01",1960,"BBWAA",269,202,1,"N","Player",NA
"38","adcocjo01",2003,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"39","adcocjo01",2005,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"40","adcocjo01",2007,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"41","ageeto01",1979,"BBWAA",432,324,0,"N","Player",NA
"42","aguilri01",2006,"BBWAA",520,390,3,"N","Player",NA
"43","akerja01",1980,"BBWAA",385,289,0,"N","Player",NA
"44","alexado01",1995,"BBWAA",460,345,0,"N","Player",NA
"45","alexape01",1936,"BBWAA",226,170,55,"N","Player",NA
"46","alexape01",1937,"BBWAA",201,151,125,"N","Player",NA
"47","alexape01",1938,"BBWAA",262,197,212,"Y","Player",NA
"48","allenbe01",1979,"BBWAA",432,324,0,"N","Player",NA
"49","allendi01",1983,"BBWAA",374,281,14,"N","Player",NA
"50","allendi01",1985,"BBWAA",395,297,28,"N","Player",NA
"51","allendi01",1986,"BBWAA",425,319,41,"N","Player",NA
"52","allendi01",1987,"BBWAA",413,310,55,"N","Player",NA
"53","allendi01",1988,"BBWAA",427,321,52,"N","Player",NA
"54","allendi01",1989,"BBWAA",447,336,35,"N","Player",NA
"55","allendi01",1990,"BBWAA",444,333,58,"N","Player",NA
"56","allendi01",1991,"BBWAA",443,333,59,"N","Player",NA
"57","allendi01",1992,"BBWAA",430,323,69,"N","Player",NA
"58","allendi01",1993,"BBWAA",423,318,70,"N","Player",NA
"59","allendi01",1994,"BBWAA",456,342,66,"N","Player",NA
"60","allendi01",1995,"BBWAA",460,345,72,"N","Player",NA
"61","allendi01",1996,"BBWAA",470,353,89,"N","Player",NA
"62","allendi01",1997,"BBWAA",473,353,79,"N","Player",NA
"63","allendi01",2003,"Veterans - Players",81,61,13,"N","Player",NA
"64","allendi01",2005,"Veterans - Players",80,60,12,"N","Player",NA
"65","allendi01",2007,"Veterans - Players",84,62,11,"N","Player",NA
"66","allendi01",2009,"Veterans - 1943 and Later",64,48,7,"N","Player",NA
"67","allendi01",2015,"Veterans - Golden Era",16,12,11,"N","Player",NA
"68","allendi01",2022,"Veterans - Golden Age Era",16,12,11,"N","Player",NA
"69","allenjo02",1955,"BBWAA",251,189,1,"N","Player",NA
"70","allenjo02",2003,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"71","allenne02",2006,"Negro League",NA,NA,NA,"N","Player",NA
"72","alleyge01",1979,"BBWAA",432,324,0,"N","Player",NA
"73","allisdo01",1936,"Veterans",78,59,1,"N","Player",NA
"74","alomaro01",2010,"BBWAA",539,405,397,"N","Player",NA
"75","alomaro01",2011,"BBWAA",581,436,523,"Y","Player",NA
"76","alomasa02",2013,"BBWAA",569,427,16,"N","Player",NA
"77","aloufe01",1980,"BBWAA",385,289,3,"N","Player",NA
"78","aloufe01",2003,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"79","aloufe01",2005,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"80","aloufe01",2007,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"81","alouje01",1985,"BBWAA",395,297,1,"N","Player",NA
"82","alouma01",1980,"BBWAA",385,289,5,"N","Player",NA
"83","aloumo01",2014,"BBWAA",571,429,6,"N","Player",NA
"84","alstowa01",1979,"Veterans",NA,NA,NA,"N","Manager","At least 1 vote"
"85","alstowa01",1980,"Veterans",NA,NA,NA,"N","Manager","Finalist"
"86","alstowa01",1981,"Veterans",NA,NA,NA,"N","Manager",NA
"87","alstowa01",1982,"Veterans",NA,NA,NA,"N","Manager",NA
"88","alstowa01",1983,"Veterans",NA,NA,NA,"Y","Manager",NA
"89","altroni01",1937,"BBWAA",201,151,3,"N","Player",NA
"90","altroni01",1938,"BBWAA",262,197,7,"N","Player",NA
"91","altroni01",1939,"BBWAA",274,206,6,"N","Player",NA
"92","altroni01",1953,"BBWAA",264,198,1,"N","Player",NA
"93","altroni01",1954,"BBWAA",252,189,2,"N","Player",NA
"94","altroni01",1956,"BBWAA",193,145,1,"N","Player",NA
"95","altroni01",1958,"BBWAA",266,200,20,"N","Player",NA
"96","altroni01",1960,"BBWAA",269,202,18,"N","Player",NA
"97","anderbr01",2008,"BBWAA",543,408,0,"N","Player",NA
"98","anderga01",2016,"BBWAA",440,330,1,"N","Player",NA
"99","andersp01",2000,"Veterans",NA,NA,NA,"Y","Manager",NA
"100","ankieri01",2019,"BBWAA",425,319,0,"N","Player",NA
"101","ansonca01",1936,"Veterans",78,59,39,"N","Player",NA
"102","ansonca01",1939,"Old Timers",NA,NA,NA,"Y","Player",NA
"103","aparilu01",1979,"BBWAA",432,324,120,"N","Player",NA
"104","aparilu01",1980,"BBWAA",385,289,124,"N","Player",NA
"105","aparilu01",1981,"BBWAA",401,301,148,"N","Player",NA
"106","aparilu01",1982,"BBWAA",415,312,174,"N","Player",NA
"107","aparilu01",1983,"BBWAA",374,281,252,"N","Player",NA
"108","aparilu01",1984,"BBWAA",403,303,341,"Y","Player",NA
"109","appieke01",2010,"BBWAA",539,405,1,"N","Player",NA
"110","applilu01",1953,"BBWAA",264,198,2,"N","Player",NA
"111","applilu01",1955,"BBWAA",251,189,3,"N","Player",NA
"112","applilu01",1956,"BBWAA",193,145,14,"N","Player",NA
"113","applilu01",1958,"BBWAA",266,200,77,"N","Player",NA
"114","applilu01",1960,"BBWAA",269,202,72,"N","Player",NA
"115","applilu01",1962,"BBWAA",160,120,48,"N","Player",NA
"116","applilu01",1964,"BBWAA",201,151,142,"N","Player",NA
"117","applilu01",1964,"Run Off",201,NA,189,"Y","Player","Player receiving most votes inducted"
"118","archeji01",1937,"BBWAA",201,151,6,"N","Player",NA
"119","archeji01",1938,"BBWAA",262,197,7,"N","Player",NA
"120","archeji01",1939,"BBWAA",274,206,3,"N","Player",NA
"121","arroybr01",2023,"BBWAA",389,292,1,"N","Player",NA
"122","ashburi01",1968,"BBWAA",283,213,6,"N","Player",NA
"123","ashburi01",1969,"BBWAA",340,255,10,"N","Player",NA
"124","ashburi01",1970,"BBWAA",300,225,11,"N","Player",NA
"125","ashburi01",1971,"BBWAA",360,270,10,"N","Player",NA
"126","ashburi01",1972,"BBWAA",396,297,11,"N","Player",NA
"127","ashburi01",1973,"BBWAA",380,285,25,"N","Player",NA
"128","ashburi01",1974,"BBWAA",365,274,56,"N","Player",NA
"129","ashburi01",1975,"BBWAA",362,272,76,"N","Player",NA
"130","ashburi01",1976,"BBWAA",388,291,85,"N","Player",NA
"131","ashburi01",1977,"BBWAA",383,288,139,"N","Player",NA
"132","ashburi01",1978,"BBWAA",379,285,158,"N","Player",NA
"133","ashburi01",1979,"BBWAA",432,324,130,"N","Player",NA
"134","ashburi01",1980,"BBWAA",385,289,134,"N","Player",NA
"135","ashburi01",1981,"BBWAA",401,301,142,"N","Player",NA
"136","ashburi01",1982,"BBWAA",415,312,126,"N","Player",NA
"137","ashburi01",1986,"Veterans",NA,NA,NA,"N","Player",NA
"138","ashburi01",1987,"Veterans",NA,NA,NA,"N","Player",NA
"139","ashburi01",1988,"Veterans",18,14,NA,"N","Player",NA
"140","ashburi01",1989,"Veterans",NA,NA,NA,"N","Player",NA
"141","ashburi01",1990,"Veterans",14,11,NA,"N","Player","Had 8 or 9 votes"
"142","ashburi01",1994,"Veterans",NA,NA,NA,"N","Player","Highest vote-getter behind Rizzuto"
"143","ashburi01",1995,"Veterans",NA,NA,NA,"Y","Player",NA
"144","aurilri01",2015,"BBWAA",549,412,0,"N","Player",NA
"145","ausmubr01",2016,"BBWAA",440,330,0,"N","Player",NA
"146","austiji01",1958,"BBWAA",266,200,1,"N","Player",NA
"147","autryge99",2003,"Veterans - Contributors",NA,NA,NA,"N","Executive","Preliminary ballot (60 contributors)"
"148","autryge99",2007,"Veterans - Contributors",NA,NA,NA,"N","Executive","Preliminary ballot (60 contributors)"
"149","autryge99",2010,"Veterans - Executives",16,12,NA,"N","Executive","<3 votes"
"150","averiea01",1949,"BBWAA",153,115,1,"N","Player",NA
"151","averiea01",1952,"BBWAA",234,176,2,"N","Player",NA
"152","averiea01",1955,"BBWAA",251,189,2,"N","Player",NA
"153","averiea01",1956,"BBWAA",193,145,3,"N","Player",NA
"154","averiea01",1958,"BBWAA",266,200,14,"N","Player",NA
"155","averiea01",1960,"BBWAA",269,202,11,"N","Player",NA
"156","averiea01",1962,"BBWAA",160,120,3,"N","Player",NA
"157","averiea01",1963,"Veterans",NA,NA,NA,"N","Player","Group B - Rule change removed from BBWAA ballot - two could be elected from Group B"
"158","averiea01",1975,"Veterans",NA,NA,NA,"Y","Player",NA
"159","avilabo01",2003,"Veterans - Players",NA,NA,NA,"N","Player","Preliminary ballot (200 players)"
"160","baergca01",2011,"BBWAA",581,436,0,"N","Player",NA
"161","bagweje01",2011,"BBWAA",581,436,242,"N","Player",NA
