"yearID","playerID","votedBy","inducted","votes","percent_votes"
2024,"Adrian Beltré","BBWAA","N",366,95.1
2024,"Todd Helton","BBWAA","N",307,79.7
2024,"Joe Mauer","BBWAA","N",293,76.1
2023,"Fred McGriff","Contemporary Baseball Era","N",16,100
2023,"Scott Rolen","BBWAA","N",297,76.3
2022,"Gil Hodges","Golden Days Era","N",12,75
2022,"Jim Kaat","Golden Days Era","N",12,75
2022,"Minnie Miñoso","Golden Days Era","N",14,87.5
2022,"Buck O'Neil","Early Baseball Era","N",13,81.3
2022,"Tony Oliva","Golden Days Era","N",12,75
2022,"David Ortiz","BBWAA","N",307,77.9
2020,"Derek Jeter","BBWAA","N",396,99.7
2020,"Marvin Miller","Modern Baseball Era","N",13,81.3
2020,"Ted Simmons","Modern Baseball Era","N",13,81.3
2020,"Larry Walker","BBWAA","N",304,76.6
2019,"Harold Baines","Today’s Game Era","N",12,75
2019,"Roy Halladay","BBWAA","N",363,85.4
2019,"Edgar Martínez","BBWAA","N",363,85.4
2019,"Mike Mussina","BBWAA","N",326,76.7
2019,"Mariano Rivera","BBWAA","N",425,100
2019,"Lee Smith","Today’s Game Era","N",16,100
2018,"Vladimir Guerrero","BBWAA","N",392,92.9
2018,"Trevor Hoffman","BBWAA","N",337,79.9
2018,"Chipper Jones","BBWAA","N",410,97.2
2018,"Jack Morris","Modern Baseball Era","N",14,87.5
2018,"Jim Thome","BBWAA","N",379,89.8
2018,"Alan Trammell","Modern Baseball Era","N",13,81.3
2017,"Jeff Bagwell","BBWAA","N",381,86.2
2017,"Tim Raines","BBWAA","N",380,86
2017,"Iván Rodríguez","BBWAA","N",336,76
2017,"John Schuerholz","Today’s Game Era","N",16,100
2016,"Ken Griffey Jr.","BBWAA","N",437,99.3
2016,"Mike Piazza","BBWAA","N",365,83
2015,"Craig Biggio","BBWAA","N",454,82.7
2015,"Randy Johnson","BBWAA","N",534,97.3
2015,"Pedro Martinez","BBWAA","N",500,91.1
2015,"John Smoltz","BBWAA","N",455,82.9
2014,"Bobby Cox","Expansion Era","N",16,100
2014,"Tom Glavine","BBWAA","N",525,91.9
2014,"Tony La Russa","Expansion Era","N",16,100
2014,"Greg Maddux","BBWAA","N",555,97.2
2014,"Frank Thomas","BBWAA","N",478,83.7
2014,"Joe Torre","Expansion Era","N",16,100
2013,"Hank O'Day","Pre-Integration Era","N",15,93.8
2013,"Jacob Ruppert","Pre-Integration Era","N",15,93.8
2013,"Deacon White","Pre-Integration Era","N",14,87.5
2012,"Barry Larkin","BBWAA","N",495,86.4
2012,"Ron Santo","Veterans","N",15,93.8
